 ,Area,Mean,Min,Max,Perim.
1,21,255,255,255,18.142
2,167,255,255,255,51.113
3,52,255,255,255,26.142
4,18,255,255,255,16.728
5,28,255,255,255,18.971
6,39,255,255,255,23.213
7,484,255,255,255,84.912
8,322,255,255,255,66.770
9,78,255,255,255,32.042
10,42,255,255,255,24.142
11,1985,255,255,255,167.681
12,10847,255,255,255,391.203
13,124,255,255,255,41.213
14,64,255,255,255,28.385
15,117,255,255,255,42.527
16,1168,255,255,255,132.125
17,33,255,255,255,21.556
18,23,255,255,255,18.728
19,108,255,255,255,38.042
20,881,255,255,255,113.054
21,105,255,255,255,36.870
22,43,255,255,255,23.556
23,129,255,255,255,42.870
24,40,255,255,255,23.556
25,49,255,255,255,25.799
26,328,255,255,255,68.426
27,2612,255,255,255,192.066
28,16,255,255,255,13.899
29,553,255,255,255,89.154
30,48,255,255,255,26.385
31,545,255,255,255,86.669
32,11,255,255,255,11.899
33,19,255,255,255,15.899
34,205,255,255,255,55.355
35,11672,255,255,255,402.718
36,12,255,255,255,13.071
37,6541,255,255,255,302.149
38,61,255,255,255,27.799
39,40,255,255,255,22.142
40,121,255,255,255,40.042
41,51,255,255,255,25.556
42,10,255,255,255,11.071
43,48,255,255,255,26.385
44,470,255,255,255,81.255
45,30,255,255,255,21.556
46,2108,255,255,255,172.995
47,38,255,255,255,23.556
48,38,255,255,255,22.142
49,108,255,255,255,39.213
50,11,255,255,255,11.899
51,10697,255,255,255,395.889
52,27,255,255,255,17.899
53,51,255,255,255,25.799
54,613,255,255,255,91.497
55,1061,255,255,255,129.054
56,33,255,255,255,20.971
57,104,255,255,255,38.627
58,21,255,255,255,16.728
59,34,255,255,255,21.314
60,8660,255,255,255,352.333
61,27,255,255,255,18.485
62,13,255,255,255,13.899
63,23,255,255,255,18.142
64,6371,255,255,255,303.706
65,90,255,255,255,34.627
66,25,255,255,255,17.899
67,10,255,255,255,10.485
68,12,255,255,255,11.314
69,95,255,255,255,35.799
70,34,255,255,255,21.314
71,372,255,255,255,75.012
72,40,255,255,255,24.142
73,49,255,255,255,24.971
74,35,255,255,255,22.142
75,123,255,255,255,41.456
76,69,255,255,255,30.627
77,160,255,255,255,45.456
78,48,255,255,255,25.799
79,90,255,255,255,35.456
80,493,255,255,255,83.255
81,158,255,255,255,48.870
82,446,255,255,255,79.255
83,20,255,255,255,17.556
84,39,255,255,255,23.213
85,13702,255,255,255,439.931
86,10,255,255,255,11.071
87,12,255,255,255,11.899
88,41,255,255,255,24.385
89,37,255,255,255,23.213
90,33,255,255,255,19.899
91,27,255,255,255,18.971
92,24,255,255,255,18.385
93,30,255,255,255,21.556
94,18,255,255,255,16.728
95,12,255,255,255,12.485
96,13816,255,255,255,443.730
97,15331,255,255,255,471.487
98,40,255,255,255,22.971
99,3565,255,255,255,224.208
100,172,255,255,255,48.284
101,72,255,255,255,31.213
102,238,255,255,255,59.355
103,43,255,255,255,23.556
104,66,255,255,255,30.385
105,10,255,255,255,11.314
106,31,255,255,255,20.971
107,22,255,255,255,18.142
108,29,255,255,255,19.314
109,2246,255,255,255,180.066
110,35,255,255,255,21.556
111,22,255,255,255,15.899
112,46,255,255,255,24.971
113,29,255,255,255,20.142
114,1325,255,255,255,137.539
115,1119,255,255,255,127.154
116,37,255,255,255,23.556
117,223,255,255,255,56.527
118,83,255,255,255,34.042
119,24,255,255,255,17.314
120,31,255,255,255,20.971
121,355,255,255,255,72.184
122,17,255,255,255,14.142
123,12547,255,255,255,428.174
124,10292,255,255,255,381.546
125,239,255,255,255,57.355
126,110,255,255,255,38.627
127,2457,255,255,255,193.723
128,875,255,255,255,115.983
129,166,255,255,255,47.113
130,323,255,255,255,67.255
131,26,255,255,255,17.556
132,129,255,255,255,42.627
133,8297,255,255,255,342.919
134,1210,255,255,255,130.468
135,138,255,255,255,45.799
136,621,255,255,255,93.154
137,1479,255,255,255,144.368
138,86,255,255,255,33.556
139,50,255,255,255,26.385
140,1032,255,255,255,122.225
141,1230,255,255,255,131.882
142,120,255,255,255,40.042
143,229,255,255,255,57.598
144,3252,255,255,255,215.966
145,25,255,255,255,17.314
146,111,255,255,255,38.627
147,64,255,255,255,30.627
148,16,255,255,255,13.899
149,63,255,255,255,28.971
150,182,255,255,255,50.284
151,41,255,255,255,22.728
152,378,255,255,255,75.598
153,20,255,255,255,16.142
154,248,255,255,255,59.355
155,43,255,255,255,23.314
156,63,255,255,255,27.799
157,399,255,255,255,75.255
158,50,255,255,255,26.385
159,255,255,255,255,61.355
160,76,255,255,255,31.799
161,19,255,255,255,15.314
162,47,255,255,255,25.556
163,294,255,255,255,64.184
164,34,255,255,255,20.971
165,603,255,255,255,94.569
166,73,255,255,255,30.627
167,6543,255,255,255,307.463
168,23,255,255,255,17.314
169,399,255,255,255,76.083
170,6652,255,255,255,306.149
171,71,255,255,255,31.213
172,64,255,255,255,28.971
173,5205,255,255,255,272.250
174,33,255,255,255,21.556
175,10192,255,255,255,381.990
176,18,255,255,255,16.142
177,11,255,255,255,11.071
178,18,255,255,255,15.314
179,45,255,255,255,25.556
180,22,255,255,255,16.485
181,39,255,255,255,22.971
182,53,255,255,255,25.799
183,112,255,255,255,40.042
184,53,255,255,255,26.971
185,7000,255,255,255,312.877
186,1940,255,255,255,167.439
187,21,255,255,255,15.899
188,59,255,255,255,27.556
189,210,255,255,255,53.941
190,87,255,255,255,33.799
191,32,255,255,255,20.728
192,47,255,255,255,26.728
193,1895,255,255,255,167.095
194,531,255,255,255,87.740
195,193,255,255,255,53.355
