 ,Area,Mean,Min,Max,Perim.
1,6614,255,255,255,304.492
2,7355,255,255,255,321.848
3,385,255,255,255,72.426
4,766,255,255,255,102.569
5,1539,255,255,255,148.853
6,1839,255,255,255,160.610
7,6479,255,255,255,308.635
8,4946,255,255,255,264.350
9,3202,255,255,255,214.894
10,22,255,255,255,18.142
11,456,255,255,255,80.669
12,1299,255,255,255,135.539
13,341,255,255,255,67.598
14,91,255,255,255,34.627
15,288,255,255,255,62.184
16,3618,255,255,255,225.622
17,30,255,255,255,20.142
18,20,255,255,255,17.314
19,351,255,255,255,69.012
20,8266,255,255,255,342.919
21,1536,255,255,255,146.368
22,3792,255,255,255,231.037
23,138,255,255,255,44.284
24,3803,255,255,255,232.108
25,21,255,255,255,16.485
26,16,255,255,255,14.728
27,44,255,255,255,24.142
28,7054,255,255,255,314.049
29,563,255,255,255,86.912
30,49,255,255,255,25.213
31,3277,255,255,255,215.037
32,357,255,255,255,71.255
33,6279,255,255,255,300.049
34,843,255,255,255,108.225
35,233,255,255,255,55.941
36,2594,255,255,255,191.238
37,139,255,255,255,44.284
38,950,255,255,255,114.811
39,481,255,255,255,82.083
40,7568,255,255,255,327.948
41,183,255,255,255,50.284
42,308,255,255,255,64.770
43,394,255,255,255,73.598
44,4070,255,255,255,238.693
45,7796,255,255,255,331.262
46,174,255,255,255,49.456
47,2226,255,255,255,174.853
48,2188,255,255,255,176.167
49,417,255,255,255,75.841
50,549,255,255,255,86.669
51,308,255,255,255,64.184
52,9063,255,255,255,359.061
53,511,255,255,255,83.497
54,1158,255,255,255,125.882
55,4871,255,255,255,260.936
56,39,255,255,255,22.142
57,5323,255,255,255,275.078
58,5857,255,255,255,290.149
59,8483,255,255,255,348.434
60,2920,255,255,255,203.966
61,309,255,255,255,68.083
62,342,255,255,255,67.598
63,12,255,255,255,12.485
64,145,255,255,255,44.042
65,1246,255,255,255,132.125
66,4395,255,255,255,247.765
67,5355,255,255,255,278.492
68,156,255,255,255,47.113
