 ,Area,Mean,Min,Max,Perim.
1,40,255,255,255,22.385
2,28,255,255,255,18.142
3,6574,255,255,255,304.149
4,58,255,255,255,28.385
5,18,255,255,255,15.899
6,15,255,255,255,15.314
7,18,255,255,255,14.485
8,2709,255,255,255,193.238
9,5205,255,255,255,272.735
10,74,255,255,255,32.042
11,4831,255,255,255,260.108
12,5030,255,255,255,266.250
13,11,255,255,255,12.485
14,846,255,255,255,109.054
15,4713,255,255,255,259.765
16,74,255,255,255,31.213
17,69,255,255,255,30.870
18,36,255,255,255,21.314
19,202,255,255,255,53.113
20,14,255,255,255,13.899
21,2300,255,255,255,179.823
22,48,255,255,255,26.042
23,11454,255,255,255,414.960
24,15,255,255,255,13.071
25,22,255,255,255,18.142
26,7264,255,255,255,324.919
27,17,255,255,255,15.899
28,6389,255,255,255,300.635
29,404,255,255,255,75.255
30,1602,255,255,255,149.782
31,61,255,255,255,27.799
32,7675,255,255,255,333.120
33,45,255,255,255,23.556
34,19,255,255,255,15.899
35,32,255,255,255,20.142
36,1729,255,255,255,156.024
37,3184,255,255,255,214.693
38,9423,255,255,255,368.818
39,2800,255,255,255,203.865
40,15667,255,255,255,486.500
41,458,255,255,255,78.669
42,32,255,255,255,21.556
43,32,255,255,255,20.142
44,938,255,255,255,116.468
45,299,255,255,255,64.184
46,5878,255,255,255,289.563
47,12645,255,255,255,428.759
48,3374,255,255,255,220.208
49,21,255,255,255,16.142
50,4867,255,255,255,265.321
51,474,255,255,255,82.326
52,1363,255,255,255,138.953
53,6321,255,255,255,300.978
54,664,255,255,255,94.912
55,29,255,255,255,18.728
56,2838,255,255,255,203.581
57,146,255,255,255,44.284
58,8261,255,255,255,342.534
59,120,255,255,255,42.284
60,13,255,255,255,11.899
61,6259,255,255,255,300.149
62,6272,255,255,255,297.321
63,7156,255,255,255,321.362
64,10,255,255,255,11.899
65,13,255,255,255,13.899
66,81,255,255,255,33.213
67,49,255,255,255,24.971
68,12468,255,255,255,423.931
69,31,255,255,255,19.899
70,59,255,255,255,28.142
71,6335,255,255,255,304.978
72,359,255,255,255,70.426
73,8440,255,255,255,349.605
74,153,255,255,255,45.941
75,28,255,255,255,18.728
76,62,255,255,255,28.385
77,6435,255,255,255,301.220
78,147,255,255,255,45.698
79,20,255,255,255,15.899
80,92,255,255,255,34.870
81,7929,255,255,255,338.676
82,86,255,255,255,33.213
83,3678,255,255,255,230.108
84,7463,255,255,255,338.434
85,14,255,255,255,13.314
86,134,255,255,255,44.042
87,12,255,255,255,11.899
88,1001,255,255,255,117.054
89,16,255,255,255,14.485
90,74,255,255,255,31.456
91,21,255,255,255,15.899
92,101,255,255,255,36.627
93,522,255,255,255,84.912
94,10,255,255,255,11.899
95,12096,255,255,255,416.960
96,16,255,255,255,14.728
97,2918,255,255,255,203.380
98,3124,255,255,255,214.208
99,31,255,255,255,20.142
100,9481,255,255,255,369.747
101,75,255,255,255,32.042
102,10584,255,255,255,389.161
103,1443,255,255,255,141.782
104,206,255,255,255,54.527
105,7838,255,255,255,335.806
106,61,255,255,255,27.556
107,31,255,255,255,19.556
108,304,255,255,255,63.355
109,19,255,255,255,16.728
110,500,255,255,255,82.083
111,5081,255,255,255,265.907
112,170,255,255,255,47.698
113,2689,255,255,255,195.238
114,26,255,255,255,18.728
115,7723,255,255,255,332.191
