 ,Area,Mean,Min,Max,Perim.
1,151,255,255,255,45.698
2,115,255,255,255,40.042
3,801,255,255,255,105.397
4,372,255,255,255,74.326
5,1036,255,255,255,119.882
6,16,255,255,255,14.142
7,76,255,255,255,31.799
8,64,255,255,255,28.385
9,2472,255,255,255,184.752
10,75,255,255,255,31.213
11,2612,255,255,255,196.894
12,4423,255,255,255,260.836
13,2508,255,255,255,189.581
14,37,255,255,255,21.556
15,1241,255,255,255,132.368
16,120,255,255,255,40.284
17,878,255,255,255,108.569
18,4254,255,255,255,244.693
19,773,255,255,255,103.397
20,38,255,255,255,21.556
21,45,255,255,255,23.556
22,21,255,255,255,16.142
23,33,255,255,255,22.142
24,69,255,255,255,29.799
25,48,255,255,255,25.556
26,1900,255,255,255,162.267
27,80,255,255,255,31.799
28,36,255,255,255,20.971
29,190,255,255,255,50.527
30,2874,255,255,255,201.966
31,39,255,255,255,22.142
32,1192,255,255,255,127.882
33,834,255,255,255,107.397
34,50,255,255,255,27.213
35,816,255,255,255,106.811
36,58,255,255,255,26.971
37,2520,255,255,255,188.066
38,307,255,255,255,64.527
39,447,255,255,255,79.497
40,2943,255,255,255,202.894
41,1909,255,255,255,162.853
42,8011,255,255,255,332.635
43,3868,255,255,255,235.279
44,456,255,255,255,79.255
45,2157,255,255,255,173.581
46,2509,255,255,255,188.752
47,2858,255,255,255,199.238
48,2685,255,255,255,194.652
49,90,255,255,255,34.042
50,347,255,255,255,69.012
51,81,255,255,255,32.627
52,4092,255,255,255,246.250
53,22,255,255,255,16.728
54,2163,255,255,255,173.095
55,22,255,255,255,15.899
56,19,255,255,255,16.728
57,1538,255,255,255,145.782
58,98,255,255,255,37.456
59,2883,255,255,255,205.480
60,2921,255,255,255,202.066
61,866,255,255,255,110.811
62,1066,255,255,255,121.640
63,681,255,255,255,98.569
64,102,255,255,255,36.627
65,180,255,255,255,48.284
66,25,255,255,255,17.314
67,505,255,255,255,85.154
68,2849,255,255,255,199.238
69,139,255,255,255,42.870
70,1060,255,255,255,122.468
71,24,255,255,255,16.728
72,1380,255,255,255,139.882
73,48,255,255,255,24.728
74,51,255,255,255,26.142
75,129,255,255,255,41.456
76,3529,255,255,255,221.480
77,124,255,255,255,40.042
78,210,255,255,255,53.698
79,4294,255,255,255,244.593
80,2503,255,255,255,186.995
81,340,255,255,255,68.426
82,3311,255,255,255,215.137
83,40,255,255,255,23.556
84,56,255,255,255,26.971
85,1891,255,255,255,162.267
86,1086,255,255,255,121.296
87,2435,255,255,255,184.752
88,3814,255,255,255,231.622
89,417,255,255,255,75.841
90,2656,255,255,255,193.238
91,28,255,255,255,20.971
92,2903,255,255,255,201.480
93,3021,255,255,255,205.823
94,2173,255,255,255,172.510
95,148,255,255,255,43.456
96,2685,255,255,255,196.551
97,50,255,255,255,26.385
98,97,255,255,255,35.213
99,1496,255,255,255,143.782
100,1996,255,255,255,167.924
101,105,255,255,255,37.456
102,31,255,255,255,19.314
103,73,255,255,255,31.213
104,1534,255,255,255,147.196
105,27,255,255,255,18.142
106,41,255,255,255,22.728
107,2995,255,255,255,205.723
108,2118,255,255,255,170.510
109,100,255,255,255,37.456
110,1143,255,255,255,126.368
111,18,255,255,255,14.728
112,3072,255,255,255,209.966
113,11,255,255,255,11.899
114,1355,255,255,255,136.125
115,41,255,255,255,22.971
116,169,255,255,255,48.042
117,711,255,255,255,97.740
118,4290,255,255,255,243.865
119,192,255,255,255,50.527
120,1335,255,255,255,135.539
121,163,255,255,255,50.527
122,410,255,255,255,75.841
123,197,255,255,255,51.355
124,96,255,255,255,35.799
125,2572,255,255,255,188.652
126,834,255,255,255,109.054
127,4565,255,255,255,254.936
128,1839,255,255,255,159.681
129,302,255,255,255,62.770
130,45,255,255,255,23.556
131,1387,255,255,255,139.782
132,1119,255,255,255,124.468
133,1878,255,255,255,162.510
134,79,255,255,255,32.042
135,170,255,255,255,46.870
136,57,255,255,255,26.971
137,16,255,255,255,15.314
138,48,255,255,255,25.556
139,26,255,255,255,20.142
140,67,255,255,255,29.799
141,36,255,255,255,21.556
142,26,255,255,255,18.728
143,3350,255,255,255,215.622
144,3258,255,255,255,215.037
145,180,255,255,255,49.456
146,3801,255,255,255,229.037
147,79,255,255,255,32.627
148,26,255,255,255,18.728
149,1357,255,255,255,135.882
150,10,255,255,255,11.899
151,512,255,255,255,84.083
152,4208,255,255,255,246.593
153,110,255,255,255,41.456
154,485,255,255,255,80.669
155,3627,255,255,255,225.380
156,122,255,255,255,40.042
157,1587,255,255,255,148.610
158,2605,255,255,255,191.238
159,4036,255,255,255,236.693
160,3077,255,255,255,209.622
161,30,255,255,255,18.728
162,65,255,255,255,30.042
163,614,255,255,255,91.740
164,137,255,255,255,42.042
165,1528,255,255,255,147.439
166,41,255,255,255,22.142
167,433,255,255,255,76.426
168,318,255,255,255,64.770
169,257,255,255,255,57.941
170,3561,255,255,255,228.208
171,59,255,255,255,27.799
172,5671,255,255,255,284.149
173,4297,255,255,255,247.279
174,28,255,255,255,18.728
175,4125,255,255,255,240.451
176,12,255,255,255,13.314
177,2152,255,255,255,173.338
178,29,255,255,255,19.314
179,807,255,255,255,106.225
180,139,255,255,255,44.527
181,871,255,255,255,109.640
182,718,255,255,255,99.740
183,246,255,255,255,59.598
184,448,255,255,255,78.669
185,1165,255,255,255,127.296
186,2295,255,255,255,178.752
187,122,255,255,255,40.042
188,2814,255,255,255,198.066
189,64,255,255,255,29.213
190,2785,255,255,255,197.238
191,1011,255,255,255,117.640
192,305,255,255,255,64.770
193,487,255,255,255,81.255
194,575,255,255,255,88.083
195,4412,255,255,255,248.108
196,205,255,255,255,54.184
197,118,255,255,255,40.870
198,2200,255,255,255,173.924
199,119,255,255,255,39.456
200,871,255,255,255,109.397
201,210,255,255,255,53.113
202,223,255,255,255,54.527
203,38,255,255,255,21.556
204,86,255,255,255,33.213
205,28,255,255,255,18.971
206,163,255,255,255,46.870
207,51,255,255,255,24.971
208,1384,255,255,255,138.125
209,68,255,255,255,30.627
210,1111,255,255,255,123.882
211,88,255,255,255,33.213
212,37,255,255,255,22.971
213,27,255,255,255,17.899
214,136,255,255,255,43.456
215,2586,255,255,255,189.823
216,142,255,255,255,42.870
217,2594,255,255,255,197.137
218,38,255,255,255,22.385
219,99,255,255,255,36.042
220,2506,255,255,255,185.338
221,207,255,255,255,52.527
222,1229,255,255,255,131.782
223,388,255,255,255,72.184
224,1160,255,255,255,127.882
225,1463,255,255,255,142.610
226,59,255,255,255,28.142
227,168,255,255,255,47.113
228,10,255,255,255,10.485
229,46,255,255,255,23.556
230,1589,255,255,255,146.953
231,135,255,255,255,42.042
